"Product URL","Product Title","Keyword","sku","Product ID","Sponsored Rank","Organic Rank","Is Top 24 Advertised"
"TXHT20V271","TOPEX 20V Cordless Hedge Trimmer Shears Cutter Garden Tool Hedge Shears Electric Lightweight Hand Held Small Electric Grass Trimmer for Shrub, Garden, Grass Lawn","hedge trimmer cordless","TXHT20V271","B0CDLGF2RZ","P1 - 4 / 60","P1 - 10 / 60","Yes"
"TXHT20V271","TOPEX 20V Cordless Hedge Trimmer Shears Cutter Garden Tool Hedge Shears Electric Lightweight Hand Held Small Electric Grass Trimmer for Shrub, Garden, Grass Lawn","cordless hedge trimmers","TXHT20V271","B0CDLGF2RZ","P1 - 4 / 60","P1 - 9 / 60","Yes"
"TX515","TOPEX 20V Cordless Blower and Grass Trimmer Combo Kit w/Battery","leaf blower","TX515","B0CKVQ3N2H","P1 - 23 / 60","No","Yes"
"TX515","TOPEX 20V Cordless Blower and Grass Trimmer Combo Kit w/Battery","whipper snipper","TX515","B0CKVQ3N2H","P1 - 22 / 60","P1 - 25 / 60","Yes"
"TX515","TOPEX 20V Cordless Blower and Grass Trimmer Combo Kit w/Battery","whipper snipper","TX515","B0CKVQ3N2H","P1 - 22 / 60","P1 - 25 / 60","Yes"
"TXHDTBP703","TOPEX 18 Inch Tool Backpack Bag, Multiple Pockets Inside and Outside Tool Organiser, with Premium Quality1680D Fabric and Tough Waterproof Moulded Bottom, for Home and Workshop Organisations","tool backpack","TXHDTBP703","B0DSKR93L1","P1 - 3 / 60","P1 - 8 / 60","Yes"
"TXHDTBP703","TOPEX 18 Inch Tool Backpack Bag, Multiple Pockets Inside and Outside Tool Organiser, with Premium Quality1680D Fabric and Tough Waterproof Moulded Bottom, for Home and Workshop Organisations","tool backpack","TXHDTBP703","B0DSKR93L1","P1 - 3 / 59","P1 - 8 / 59","Yes"
"TXHDTBP703","TOPEX 18 Inch Tool Backpack Bag, Multiple Pockets Inside and Outside Tool Organiser, with Premium Quality1680D Fabric and Tough Waterproof Moulded Bottom, for Home and Workshop Organisations","tools bag","TXHDTBP703","B0DSKR93L1","P1 - 24 / 60","P1 - 52 / 60","No"
"TXSP1100135","TOPEX 1100W Submersible Dirty Water Pump Sump Portable Electric 10M Extension Power Cord Submersible Pump Dirty Sewage Pumps Controller Swim Pool Pond Home Garden Farm Clean","submersible water pump","TXSP1100135","B0BLTJGGNF","P1 - 4 / 60","P1 - 16 / 60","Yes"
"TXSP1100135","TOPEX 1100W Submersible Dirty Water Pump Sump Portable Electric 10M Extension Power Cord Submersible Pump Dirty Sewage Pumps Controller Swim Pool Pond Home Garden Farm Clean","pool pump","TXSP1100135","B0BLTJGGNF","P2 - 21 / 60","P2 - 7 / 60","Yes"
"TXSP1100135","TOPEX 1100W Submersible Dirty Water Pump Sump Portable Electric 10M Extension Power Cord Submersible Pump Dirty Sewage Pumps Controller Swim Pool Pond Home Garden Farm Clean","water pump","TXSP1100135","B0BLTJGGNF","P1 - 21 / 60","P2 - 27 / 60","Yes"
"TXSP1100135","TOPEX 1100W Submersible Dirty Water Pump Sump Portable Electric 10M Extension Power Cord Submersible Pump Dirty Sewage Pumps Controller Swim Pool Pond Home Garden Farm Clean","submersible pump","TXSP1100135","B0BLTJGGNF","P1 - 59 / 60","P1 - 10 / 60","No"
"TXSP1100135","TOPEX 1100W Submersible Dirty Water Pump Sump Portable Electric 10M Extension Power Cord Submersible Pump Dirty Sewage Pumps Controller Swim Pool Pond Home Garden Farm Clean","water pump","TXSP1100135","B0BLTJGGNF","P1 - 21 / 60","P2 - 27 / 60","Yes"
"TXGG4V069","TOPEX 4V Cordless Hot Melt Glue Gun Kit Lithium Power 15PCs Sticks Included","glue gun","TXGG4V069","B09JBRHSFL","P1 - 21 / 59","P1 - 42 / 59","Yes"
"TXGG4V069","TOPEX 4V Cordless Hot Melt Glue Gun Kit Lithium Power 15PCs Sticks Included","glue gun","TXGG4V069","B09JBRHSFL","P1 - 21 / 59","P1 - 42 / 59","Yes"
"TXGG4V069","TOPEX 4V Cordless Hot Melt Glue Gun Kit Lithium Power 15PCs Sticks Included","hot glue gun","TXGG4V069","B09JBRHSFL","P1 - 22 / 60","P1 - 37 / 60","Yes"
"SLGC12P104","No","food storage container","SLGC12P104","B0D93FZZKJ","No","No","No"
"SLGC12P104","No","food container","SLGC12P104","B0D93FZZKJ","No","No","No"
"TX023TX036TX161","TOPEX 12V Cordless Angle Grinder Kit for Metal and Wood w/Lithium-Ion Battery&Charger","angle grinder","TX023TX036TX161","B09J124BVV","P1 - 24 / 60","P1 - 8 / 60","No"
"TXHG1800W062","TOPEX Heat Gun Hot Air Heating Tool Kit Dual Speed w/ 5 Accessories Storage Case","heat gun","TXHG1800W062","B0824TJXYC","P1 - 2 / 60","P1 - 18 / 60","Yes"
