"Link of the Product","SKU","CampaignID","CampaignName","Keywords","Keywords Type","Current Bid","Adjust Bid","Ads Rank","Target Row Or Not","Max Bid"
"https://www.ebay.com.au/itm/186854942746","SLGC10P107",,"SL107","glass containers with lids","EXACT","0.34",,,"True",
"https://www.ebay.com.au/itm/186854942746","SLGC10P107",,"SL107","glass food storage containers","EXACT","0.4",,,"True",
"https://www.ebay.com.au/itm/186854942746","SLGC10P107",,"SL107","glass meal prep containers","EXACT","0.33",,,"True",
"https://www.ebay.com.au/itm/186854942746","SLGC10P107",,"SL107","meal prep containers","EXACT","0.28",,,"True",
"https://www.ebay.com.au/itm/186854942746","SLGC10P107",,"SL107","glass containers","EXACT","0.38",,,"True",
"https://www.ebay.com.au/itm/186854942746","SLGC10P107",,"SL107","food containers","EXACT","1.46",,,"True",
"https://www.ebay.com.au/itm/186854942746","SLGC10P107",,"SL107","glass food containers","EXACT","0.65",,,"True",
"https://www.ebay.com.au/itm/186850688517","SLAH25L210",,"SL210","humidifier","PHRASE","0.22",,,"True",
"https://www.ebay.com.au/itm/186850688517","SLAH25L210",,"SL210","aroma diffuser","PHRASE","0.34",,,"True",
"https://www.ebay.com.au/itm/186850688517","SLAH25L210",,"SL210","essential oil diffuser","EXACT","1.54",,,"True",
"https://www.ebay.com.au/itm/186850688517","SLAH25L210",,"SL210","cool mist humidifier","EXACT","1.4",,,"True",
"https://www.ebay.com.au/itm/186850688517","SLAH25L210",,"SL210","humidifier","EXACT","1.55",,,"True",
"https://www.ebay.com.au/itm/186850688517","SLAH25L210",,"SL210","air humidifier","EXACT","1.2",,,"True",
"https://www.ebay.com.au/itm/186850688410","SLPT11N130",,"SL130","paper towel holder","PHRASE","0.59",,,"True",
"https://www.ebay.com.au/itm/186850688410","SLPT11N130",,"SL130","tear towel holder","PHRASE","0.3",,,"True",
"https://www.ebay.com.au/itm/186850688410","SLPT11N130",,"SL130","kitchen roll holder","EXACT","0.9",,,"True",
"https://www.ebay.com.au/itm/186850688361","SLAP10W202",,"SL202","air purifier","PHRASE","0.2",,,"True",
"https://www.ebay.com.au/itm/186850688361","SLAP10W202",,"SL202","air purifier","EXACT","1.4",,,"True",
"https://www.ebay.com.au/itm/186850688361","SLAP10W202",,"SL202","air purifiers for the home","EXACT","0.31",,,"True",
"https://www.ebay.com.au/itm/186850688361","SLAP10W202",,"SL202","air purifier home","EXACT","1.8",,,"True",
"https://www.ebay.com.au/itm/186850688361","SLAP10W202",,"SL202","air purifier hepa","EXACT","1.1",,,"True",
"https://www.ebay.com.au/itm/186850688361","SLAP10W202",,"SL202","hepa air purifier","EXACT","0.32",,,"True",
"https://www.ebay.com.au/itm/186850688361","SLAP10W202",,"SL202","air purifiers for the bedroom","EXACT","0.4",,,"True",
"https://www.ebay.com.au/itm/186826151170","TX526",,"TX526","reciprocating saw","PHRASE","1.83",,,"True",
"https://www.ebay.com.au/itm/186826151170","TX526",,"TX526","reciprocating saw blades metal","EXACT","0.3",,,"True",
"https://www.ebay.com.au/itm/186826151170","TX526",,"TX526","reciprocating saw","EXACT","1.6",,,"True",
"https://www.ebay.com.au/itm/186790415920","SLJL1KW500",,"SL500","commercial blender","EXACT","0.99",,,"True",
"https://www.ebay.com.au/itm/186790415920","SLJL1KW500",,"SL500","smoothie blender","EXACT","0.91",,,"True",
"https://www.ebay.com.au/itm/186790415920","SLJL1KW500",,"SL500","juicer blender","EXACT","0.76",,,"True",
"https://www.ebay.com.au/itm/186790415920","SLJL1KW500",,"SL500","blender smoothie","EXACT","1",,,"True",
"https://www.ebay.com.au/itm/186790415920","SLJL1KW500",,"SL500","bullet blender","EXACT","0.3",,,"True",
"https://www.ebay.com.au/itm/186790415920","SLJL1KW500",,"SL500","fruit blender","EXACT","0.48",,,"True",
"https://www.ebay.com.au/itm/186790415920","SLJL1KW500",,"SL500","electric blender","EXACT","1.3",,,"True",
"https://www.ebay.com.au/itm/186784286110","TXTI12V010",,"TX010","tyre inflator","PHRASE","0.55",,,"True",
"https://www.ebay.com.au/itm/186784286110","TXTI12V010",,"TX010","portable air compressor","EXACT","2.1",,,"True",
"https://www.ebay.com.au/itm/186784286110","TXTI12V010",,"TX010","12v air compressor","EXACT","0.98",,,"True",
"https://www.ebay.com.au/itm/186784286110","TXTI12V010",,"TX010","air pump for car","EXACT","1.75",,,"True",
"https://www.ebay.com.au/itm/186784286110","TXTI12V010",,"TX010","air compressor 12v","EXACT","0.77",,,"True",
"https://www.ebay.com.au/itm/186784286110","TXTI12V010",,"TX010","air compressor tyre inflator","EXACT","0.55",,,"True",
"https://www.ebay.com.au/itm/186784286110","TXTI12V010",,"TX010","portable tyre inflator","EXACT","1.75",,,"True",
"https://www.ebay.com.au/itm/186784286110","TXTI12V010",,"TX010","car tyre inflator","EXACT","0.3",,,"True",
"https://www.ebay.com.au/itm/186784352636","TXBC10A460-10A",,"TX460-10A","car battery charger","EXACT","0.35",,,"True",
"https://www.ebay.com.au/itm/186784352636","TXBC10A460-10A",,"TX460-10A","12v battery charger","EXACT","0.35",,,"True",
"https://www.ebay.com.au/itm/186784352636","TXBC10A460-10A",,"TX460-10A","lithium battery charger 12v","EXACT","0.35",,,"True",
"https://www.ebay.com.au/itm/186784352636","TXBC10A460-10A",,"TX460-10A","motorcycle battery charger","EXACT","0.35",,,"True",
"https://www.ebay.com.au/itm/186784352636","TXBC10A460-10A",,"TX460-10A","smart battery charger","EXACT","0.35",,,"True",
"https://www.ebay.com.au/itm/186784352636","TXBC10A460-10A",,"TX460-10A","battery charger","EXACT","0.35",,,"True",
