"Reference ID","Product URL","Product Title","Keyword","sku","Product ID","Sponsored Rank","Organic Rank","Is Top 24 Advertised"
"173","https://www.ebay.com.au/itm/186400077011","TOPEX 12V Cordless Impact Wrench with 3/8-Inch Chuck,Torque Max 120 N.m, 6 Socks","impact wrench brushless","TXIW12V230","186400077011","P1 - 23 / 70","No","Yes"
"174","https://www.ebay.com.au/itm/186400077011","TOPEX 12V Cordless Impact Wrench with 3/8-Inch Chuck,Torque Max 120 N.m, 6 Socks","cordless impact wrench","TXIW12V230","186400077011","P1 - 24 / 70","No","No"
"185","https://www.ebay.com.au/itm/186400059405","Topex 3in1 200W Electric Finishing Sander Sanding Tool 6 Speeds 3 Sanding Base","random orbital sander","TXES3N1098","186400059405","P1 - 67 / 70","No","No"
"186","https://www.ebay.com.au/itm/186400059405","Topex 3in1 200W Electric Finishing Sander Sanding Tool 6 Speeds 3 Sanding Base","sander electric","TXES3N1098","186400059405","P1 - 39 / 70","No","No"
"187","https://www.ebay.com.au/itm/186400059405","No","orbital sander","TXES3N1098","186400059405","No","No","No"
"188","https://www.ebay.com.au/itm/186400059405","Topex 3in1 200W Electric Finishing Sander Sanding Tool 6 Speeds 3 Sanding Base","sander","TXES3N1098","186400059405","P1 - 40 / 70","No","No"
"189","https://www.ebay.com.au/itm/186400059405","Topex 3in1 200W Electric Finishing Sander Sanding Tool 6 Speeds 3 Sanding Base","sander","TXES3N1098","186400059405","P1 - 40 / 70","No","No"
"190","https://www.ebay.com.au/itm/186400059405","Topex 3in1 200W Electric Finishing Sander Sanding Tool 6 Speeds 3 Sanding Base","electric sander","TXES3N1098","186400059405","P1 - 39 / 70","No","No"
"194","https://www.ebay.com.au/itm/185487539412","Monika Pink Tool Combo Portable Household Tool Set & Piece Gardening Tool Kit","hand tool sets","MK012MK014","185487539412","P1 - 46 / 68","No","No"
"196","https://www.ebay.com.au/itm/185296205249","No","cordless screwdriver","MK001MK002","185296205249","No","No","No"
"208","https://www.ebay.com.au/itm/186364708135","No","drill sharpener","TXMS65W390","186364708135","No","No","No"
"230","https://www.ebay.com.au/itm/186334297375","No","14mm spark plug socket","TXSP5PC253","186334297375","No","No","No"
